,user,location,tweet
0,RWilliams48239,"Detroit, MI","So excited for #LokiSeries 
Love my #DisneyPlus &amp; #MarvelStudios https://t.co/5a15cCi6ng"
1,StreamtheVote,United States,So basically I have #DisneyPlus till I die. #LOKI https://t.co/jYq8quL91m
2,myfolktears,,#TurtleShellBagRELEASED #wendy #loki #disneyplus #marvel #buenlunes #jbalvin #HOBI viola davis TOP IS COMING tom hi… https://t.co/UrxmE4r1Ma
3,logodesignprof1,Bangladesh,#OwenWilson #DisneyPlus #MarvelStudios #Askew #Walgreens #STAAR #DeathstrokeHBOMax #Earthquake #BaylorvsGonzaga… https://t.co/rRJ1bVum8v
4,Peachz_ca,🌍,".@LokiOfficial  has a new trailer!

https://t.co/f60HWg8edp

#Marvel #marvelstudios #Disneyplus #Loki #Asgard #series #streaming #trailer"
5,AmcbToraidhe,"San Francisco, CA","Concept I did for Solo: A Star Wars Story ( 2018 ). Han and Kura running through a Tie Fighter Factory. 
From Art o… https://t.co/OWdTwJA5YP"
6,rogpalmeruk,,Marvel’s The Falcon And The Winter Soldier Episode 3 Merchandise Revealed https://t.co/Dh6TjzUXYi #disneyplus
7,rogpalmeruk,,"Lauren Kisilevsky Promoted To Senior Vice President, Original Movies, Disney Branded Television https://t.co/pkg8x4kDdr #disneyplus"
8,BridgeGeekdoms,"Pennsylvania, USA","👀👀
Did you catch the trailer? What did you think? Let us know in the comments

#Loki Trailer Reactions… https://t.co/2KJjhSsu6g"
9,teepubtees,"Las Vegas, NV","SHOP NOW: https://t.co/uMO5VZJ8Rv
.
#HumorTee #GraphicTee #PopCulture #Wandavision #Vision #ScarletWitch… https://t.co/Yx50y0vsRl"
10,DarkwingFat,,"@LokiOfficial @disneyplus From today on this Twitter.

Everyday I will beg @Kevfeige , @disneyplus and… https://t.co/tXFXK0kEVk"
11,AarontheWise,,Got back from a visit to #amish country. This building is nearly 200 years old but with 1 addition: Stinky Pete fro… https://t.co/h79qrQiu6B
12,thisalexfink,LA,"Spoilers w/o Context: The Falcon &amp; the Winter Soldier episode 3

#TheFalconAndWinterSoldier #Marvel #DisneyPlus… https://t.co/4LhwQOXEnY"
13,llredraven,"Upstate New York, USA","I can't hardly wait!!
#LOKI ♈ is the main reason I got #DisneyPlus https://t.co/fb6IbMkIKA"
14,logodesignprof1,Bangladesh,#OwenWilson #DisneyPlus #MarvelStudios #Askew #Walgreens #STAAR #DeathstrokeHBOMax #Earthquake #BaylorvsGonzaga… https://t.co/0Mv6GHuGZ4
15,nerdragecast,"Frederick, MD",People are ridiculous #TheFalconandTheWinterSoldier #marvel #DisneyPlus #disney The Falcon and The Winter Soldier:… https://t.co/cdxyrcGfyh
16,BestDeals_1,United States,"Ranboo
Link: https://t.co/V4qM7IkYpn

#ranboofanart #RanbooEdit #ranbooart #Ranboo #dream #dreamsmp #dreamfanart… https://t.co/HbD4SepVXu"
17,DarkwingFat,,"From today on this Twitter.

Everyday I will beg @Kevfeige , @disneyplus and @MarvelStudios to do the live action s… https://t.co/YR6fMwjyml"
18,DarkwingFat,,"@MarvelStudios @disneyplus From today on this Twitter.

Everyday I will beg @Kevfeige , @disneyplus and… https://t.co/siTLAwgqv3"
19,thetimzster,,"Following his escape in Avengers: Endgame, the God of Mischief has to fix things he screwed up in time in the new t… https://t.co/cLGwbj7hFj"
20,DarkwingFat,,"@disneyplus @MarvelStudios From today on this Twitter.

Everyday I will beg @Kevfeige , @disneyplus and… https://t.co/E0ZXJWPQZs"
21,app_refine,,"How princesses really spend their time😜 Cinderella 2.0
@DisneyParks @WaltDisneyCo @DisneyAnimation 
#avatarify… https://t.co/nG6HZvNTtF"
